Sectores de actividad económica agregados	Categoría de residuos (CER-Stat) agregada	Peligrosidad	año	Total
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Total	2018	8.939,7
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Total	2017	6.411,4
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Total	2016	8.857,9
A: Agricultura, ganadería, silvicultura y pesca	(06): Metálicos	Total	2015	8.459,9
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	No peligrosos	2019	1.110,8
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	No peligrosos	2018	1.257,8
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	No peligrosos	2017	1.085,2
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	No peligrosos	2016	1.159,7
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	No peligrosos	2015	1.112,2
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Peligrosos	2019	6,7
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Peligrosos	2018	6,6
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Peligrosos	2017	6,6
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Peligrosos	2016	6,7
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Peligrosos	2015	6,7
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Total	2019	1.117,4
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Total	2018	1.264,4
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Total	2017	1.091,8
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Total	2016	1.166,4
A: Agricultura, ganadería, silvicultura y pesca	(07.1): Vidrio	Total	2015	1.118,9
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	No peligrosos	2019	13.721,4
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	No peligrosos	2018	14.344,4
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	No peligrosos	2017	12.952,0
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	No peligrosos	2016	14.247,9
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	No peligrosos	2015	13.600,8
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Peligrosos	2019	..
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Peligrosos	2018	..
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Peligrosos	2017	..
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Peligrosos	2016	..
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Peligrosos	2015	..
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Total	2019	13.721,4
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Total	2018	14.344,4
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Total	2017	12.952,0
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Total	2016	14.247,9
A: Agricultura, ganadería, silvicultura y pesca	(07.2): Papel y Cartón	Total	2015	13.600,8
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	No peligrosos	2019	35.968,9
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	No peligrosos	2018	39.957,0
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	No peligrosos	2017	33.963,8
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	No peligrosos	2016	38.535,5
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	No peligrosos	2015	35.399,7
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Peligrosos	2019	..
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Peligrosos	2018	..
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Peligrosos	2017	..
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Peligrosos	2016	..
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Peligrosos	2015	..
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Total	2019	35.968,9
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Total	2018	39.957,0
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Total	2017	33.963,8
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Total	2016	38.535,5
A: Agricultura, ganadería, silvicultura y pesca	(07.4): Plásticos	Total	2015	35.399,7
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	No peligrosos	2019	21.279,5
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	No peligrosos	2018	20.197,8
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	No peligrosos	2017	19.388,0
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	No peligrosos	2016	19.900,2
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	No peligrosos	2015	19.551,1
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Peligrosos	2019	1,6
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Peligrosos	2018	2,0
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Peligrosos	2017	1,6
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Peligrosos	2016	1,7
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Peligrosos	2015	1,6
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Total	2019	21.281,1
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Total	2018	20.199,8
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Total	2017	19.389,6
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Total	2016	19.901,9
A: Agricultura, ganadería, silvicultura y pesca	(07.5): Madera	Total	2015	19.552,7
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	No peligrosos	2019	6.596,7
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	No peligrosos	2018	6.862,1
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	No peligrosos	2017	5.525,4
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	No peligrosos	2016	6.812,9
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	No peligrosos	2015	6.545,1
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Peligrosos	2019	779,8
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Peligrosos	2018	845,7
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Peligrosos	2017	707,9
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Peligrosos	2016	834,3
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Peligrosos	2015	772,5
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Total	2019	7.376,5
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Total	2018	7.707,8
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Total	2017	6.233,3
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Total	2016	7.647,2
A: Agricultura, ganadería, silvicultura y pesca	(08): Equipos desechados	Total	2015	7.317,6
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	No peligrosos	2019	5.683.985,7
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	No peligrosos	2018	5.718.372,8
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	No peligrosos	2017	5.594.171,5
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	No peligrosos	2016	5.730.082,3
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	No peligrosos	2015	5.679.812,2
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Peligrosos	2019	..
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Peligrosos	2018	..
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Peligrosos	2017	..
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Peligrosos	2016	..
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Peligrosos	2015	..
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Total	2019	5.683.985,7
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Total	2018	5.718.372,8
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Total	2017	5.594.171,5
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Total	2016	5.730.082,3
A: Agricultura, ganadería, silvicultura y pesca	(09): Animales y vegetales	Total	2015	5.679.812,2
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	No peligrosos	2019	354.502,7
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	No peligrosos	2018	386.006,8
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	No peligrosos	2017	329.071,3
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	No peligrosos	2016	390.945,3
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	No peligrosos	2015	346.663,5
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Peligrosos	2019	0,5
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Peligrosos	2018	0,5
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Peligrosos	2017	0,5
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Peligrosos	2016	0,5
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Peligrosos	2015	0,5
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Total	2019	354.503,2
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Total	2018	386.007,3
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Total	2017	329.071,8
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Total	2016	390.945,8
A: Agricultura, ganadería, silvicultura y pesca	(10): Residuos mezclados	Total	2015	346.664,0
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	No peligrosos	2019	4.748,6
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	No peligrosos	2018	5.327,2
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	No peligrosos	2017	4.711,7
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	No peligrosos	2016	4.962,2
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	No peligrosos	2015	4.780,6
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Peligrosos	2019	..
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Peligrosos	2018	..
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Peligrosos	2017	..
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Peligrosos	2016	..
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Peligrosos	2015	..
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Total	2019	4.748,6
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Total	2018	5.327,2
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Total	2017	4.711,7
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Total	2016	4.962,2
A: Agricultura, ganadería, silvicultura y pesca	(11): Lodos comunes	Total	2015	4.780,6
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	No peligrosos	2019	12.532,4
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	No peligrosos	2018	13.041,7
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	No peligrosos	2017	11.050,8
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	No peligrosos	2016	12.774,6
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	No peligrosos	2015	12.247,2
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Peligrosos	2019	0,4
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Peligrosos	2018	0,4
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Peligrosos	2017	0,4
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Peligrosos	2016	0,4
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Peligrosos	2015	0,4
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Total	2019	12.532,8
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Total	2018	13.042,1
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Total	2017	11.051,2
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Total	2016	12.775,0
A: Agricultura, ganadería, silvicultura y pesca	(12-13): Minerales	Total	2015	12.247,6
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	No peligrosos	2019	8.685,6
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	No peligrosos	2018	8.953,2
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	No peligrosos	2017	7.887,5
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	No peligrosos	2016	8.915,6
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	No peligrosos	2015	8.637,7
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Peligrosos	2019	1.318,4
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Peligrosos	2018	1.314,6
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Peligrosos	2017	1.275,1
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Peligrosos	2016	1.321,4
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Peligrosos	2015	1.321,2
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Total	2019	10.004,1
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Total	2018	10.267,8
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Total	2017	9.162,6
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Total	2016	10.237,0
A: Agricultura, ganadería, silvicultura y pesca	Resto: Otros	Total	2015	9.958,9
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	No peligrosos	2019	6.158.033,9
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	No peligrosos	2018	6.230.097,4
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	No peligrosos	2017	6.031.875,6
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	No peligrosos	2016	6.243.798,1
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	No peligrosos	2015	6.143.003,7
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Peligrosos	2019	..
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Peligrosos	2018	..
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Peligrosos	2017	..
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Peligrosos	2016	..
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Peligrosos	2015	..
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Total	2019	6.158.033,9
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Total	2018	6.230.097,4
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Total	2017	6.031.875,6
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Total	2016	6.243.798,1
A: Agricultura, ganadería, silvicultura y pesca	Total, no peligrosos	Total	2015	6.143.003,7
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	No peligrosos	2019	..
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	No peligrosos	2018	..
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	No peligrosos	2017	..
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	No peligrosos	2016	..
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	No peligrosos	2015	..
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Peligrosos	2019	25.925,2
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Peligrosos	2018	28.153,3
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Peligrosos	2017	23.080,5
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Peligrosos	2016	27.667,4
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Peligrosos	2015	25.720,8
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Total	2019	25.925,2
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Total	2018	28.153,3
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Total	2017	23.080,5
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Total	2016	27.667,4
A: Agricultura, ganadería, silvicultura y pesca	Total, peligrosos	Total	2015	25.720,8
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	No peligrosos	2019	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	No peligrosos	2018	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	No peligrosos	2017	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	No peligrosos	2016	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	No peligrosos	2015	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Peligrosos	2019	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Peligrosos	2018	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Peligrosos	2017	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Peligrosos	2016	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Peligrosos	2015	..
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Total	2019	6.183.959,1
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Total	2018	6.258.250,7
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Total	2017	6.054.956,1
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Total	2016	6.271.465,5
A: Agricultura, ganadería, silvicultura y pesca	TOTAL	Total	2015	6.168.724,5
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	No peligrosos	2019	733.812,9
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	No peligrosos	2018	741.385,4
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	No peligrosos	2017	781.735,4
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	No peligrosos	2016	818.052,4
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	No peligrosos	2015	850.483,5
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Peligrosos	2019	850.161,5
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Peligrosos	2018	853.411,9
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Peligrosos	2017	1.054.646,8
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Peligrosos	2016	1.005.491,3
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Peligrosos	2015	975.828,6
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Total	2019	1.583.974,4
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Total	2018	1.594.797,3
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Total	2017	1.836.382,2
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Total	2016	1.823.543,7
B-D: Industria (Incluidas minería y producción de energía)	(01-03): Químicos	Total	2015	1.826.312,1
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	No peligrosos	2019	1.963.698,8
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	No peligrosos	2018	1.971.112,6
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	No peligrosos	2017	2.209.945,9
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	No peligrosos	2016	1.954.428,8
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	No peligrosos	2015	2.251.326,8
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Peligrosos	2017	..
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Peligrosos	2016	..
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Peligrosos	2015	..
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Total	2019	1.963.698,8
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Total	2018	1.971.112,6
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Total	2017	2.209.945,9
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Total	2016	1.954.428,8
B-D: Industria (Incluidas minería y producción de energía)	(06): Metálicos	Total	2015	2.251.326,8
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	No peligrosos	2019	126.601,1
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	No peligrosos	2018	120.549,3
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	No peligrosos	2017	130.361,7
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	No peligrosos	2016	123.909,8
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	No peligrosos	2015	161.670,5
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Peligrosos	2017	7,7
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Peligrosos	2016	7,1
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Peligrosos	2015	6,8
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Total	2019	126.601,1
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Total	2018	120.549,3
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Total	2017	130.369,4
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Total	2016	123.916,9
B-D: Industria (Incluidas minería y producción de energía)	(07.1): Vidrio	Total	2015	161.677,3
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	No peligrosos	2019	677.786,6
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	No peligrosos	2018	668.811,2
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	No peligrosos	2017	915.314,8
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	No peligrosos	2016	916.024,3
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	No peligrosos	2015	869.362,6
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Peligrosos	2017	..
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Peligrosos	2016	..
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Peligrosos	2015	..
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Total	2019	677.786,6
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Total	2018	668.811,2
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Total	2017	915.314,8
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Total	2016	916.024,3
B-D: Industria (Incluidas minería y producción de energía)	(07.2): Papel y Cartón	Total	2015	869.362,6
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	No peligrosos	2019	253.549,4
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	No peligrosos	2018	248.821,8
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	No peligrosos	2017	273.835,2
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	No peligrosos	2016	260.830,8
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	No peligrosos	2015	260.062,5
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Peligrosos	2019	..
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Peligrosos	2018	..
B-D: Industria (Incluidas minería y producción de energía)	(07.4): Plásticos	Peligrosos	2017	..
