"Variable1	Valor1	Variable2	Valor2	Variable3	Valor3	Variable4	Valor4	Variable5	Valor5	PERIODO	VALOR"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	20,4"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	22,2"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	20,7"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	14,0"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	12,6"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2016	13,4"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2015	16,7"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2014	16,7"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2013	14,1"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2012	13,0"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2011	14,1"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2010	11,5"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2009	13,0"
"Comunidades y Ciudades Autónomas	Asturias, Principado de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2008	13,2"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	27,7"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	25,0"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	27,7"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	28,6"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	30,1"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2016	28,9"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2015	31,8"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2014	37,2"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2013	26,8"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2012	25,2"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2011	25,8"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2010	29,8"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2009	29,1"
"Comunidades y Ciudades Autónomas	Murcia, Región de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2008	24,5"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	14,8"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	16,7"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	13,9"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	13,6"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	15,0"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2016	13,2"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2015	13,9"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2014	15,8"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2013	13,9"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2012	15,8"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2011	14,2"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2010	14,7"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2009	15,2"
"Comunidades y Ciudades Autónomas	Cataluña	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2008	12,3"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	17,6"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	14,1"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	12,0"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	15,4"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	21,3"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2016	15,5"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2015	21,7"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2014	17,9"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2013	19,8"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2012	19,9"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2011	21,0"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2010	22,7"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2009	18,1"
"Comunidades y Ciudades Autónomas	Balears, Illes	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2008	18,1"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	9,8"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	9,9"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	7,7"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	8,9"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	8,3"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2016	9,0"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2015	9,6"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2014	11,9"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2013	9,9"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2012	7,0"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2011	8,1"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2010	10,7"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2009	7,8"
"Comunidades y Ciudades Autónomas	Navarra, Comunidad Foral de	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2008	5,9"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	25,1"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	24,6"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	23,7"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	26,0"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	25,6"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2016	24,4"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2015	25,3"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2014	26,2"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2013	23,6"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2012	25,0"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2011	22,0"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2010	22,7"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2009	20,9"
"Comunidades y Ciudades Autónomas	Comunitat Valenciana	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2008	23,6"
"Comunidades y Ciudades Autónomas	Canarias	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2021	28,4"
"Comunidades y Ciudades Autónomas	Canarias	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2020	29,9"
"Comunidades y Ciudades Autónomas	Canarias	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2019	28,5"
"Comunidades y Ciudades Autónomas	Canarias	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2018	32,1"
"Comunidades y Ciudades Autónomas	Canarias	Conceptos Demográficos	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	Totales de edad	Todas las edades	Cambios de conceptos	Base 2013			2017	30,5"
